source_id,industry,company,"source_title",source_publisher,source_type,url,publication_date,access_date,pricing_terms_used,pricing_characterization,summary,key_quotes
2025-07-28-video-blumenthal-colleagues-demand-answers-from-delta,aviation,delta,"""Video: Blumenthal & Colleagues Demand Answers from Delta CEO as Company Moves Toward AI Price Model to Set Airfares""",Senator Richard Blumenthal,senate press release,https://www.blumenthal.senate.gov/newsroom/press/release/video-blumenthal-and-colleagues-demand-answers-from-delta-ceo-as-company-moves-toward-ai-price-model-to-set-airfares,2025-07-28,2026-05-05,"AI price model, individualized fares, surveillance-based fares, personal pain point",consumer harm / data privacy concern,"Press release republishes and summarizes the senators' July 21 letter to Delta. Frames Delta's Fetcherr AI pricing rollout as individualized surveillance pricing that could raise fares based on willingness to pay and unknown data inputs.","""Consumers have no way of knowing what data and personal information your company and Fetcherr plan to collect."""
a-review-of-ancillary-services-in-the-airline-industry,aviation,delta,"""A review of ancillary services in the airline industry""",Cogent Business & Management,academic article,https://doi.org/10.1080/23311975.2024.2322018,2024-03-11,2026-05-06,"ancillary services, willingness to pay, personalized pricing",industry background / revenue strategy,"Academic background source on ancillary services, willingness to pay, and personalized pricing in the airline industry. Useful for context rather than direct evidence about Delta's 2025 AI pricing controversy.","""finding new sources of revenue growth for carriers is becoming increasingly important."""
corrected-transcript-delta-air-lines-inc-dal-us-investor-day-20-november-2024-8-,aviation,delta,"""Delta Air Lines Investor Day Corrected Transcript""",Delta Investor Relations / FactSet,investor transcript,https://s2.q4cdn.com/181345880/files/doc_downloads/2024/11/CORRECTED-TRANSCRIPT_-Delta-Air-Lines-Inc-DAL-US-Investor-Day-20-November-2024-8_30-AM-ET.pdf,2024-11-20,2026-05-05,"AI pricing, Fetcherr, optimized offers, right offer, continuous pricing, personal demand curve",company benefit / revenue optimization,"Investor-facing source where Delta describes Fetcherr as part of a broader reengineering of pricing and offer management. Later critics used this transcript to argue Delta was moving toward individualized pricing.","""We have about 1% of our network currently being priced by the Fetcherr team."""
corrected-transcript-delta-air-lines-inc-dal-us-q2-2025-earnings-call,aviation,delta,"""Delta Air Lines Q2 2025 Earnings Call Corrected Transcript""",Delta Investor Relations / FactSet,earnings call transcript,https://s2.q4cdn.com/181345880/files/doc_earnings/2025/q2/transcript/CORRECTED-TRANSCRIPT_-Delta-Air-Lines-Inc-DAL-US-Q2-2025-Earnings-Call.pdf,2025-07-10,2026-05-05,"AI-enhanced pricing, Fetcherr, revenue management, dynamic pricing",company benefit / test rollout,"Delta tells investors it is testing Fetcherr's AI-enhanced pricing on about 3% of domestic routes and aims for about 20% by year end. This became a key trigger for July 2025 media and legislative pressure.","""Today, we're about 3% of domestic."""
delta-ai-letter,aviation,delta,"""Delta AI Letter""",Senator Ruben Gallego / U.S. Senate,senate letter,https://www.gallego.senate.gov/wp-content/uploads/2025/07/Delta-AI-Letter.pdf,2025-07-21,2026-05-05,"artificial intelligence, individualized fares, surveillance-based price setting, customized prices, personal pain point",consumer harm / data privacy concern,"Same July 21 senators' letter as delta-ai-letter-2. It asks Delta to explain its AI revenue management system, what data it uses, and how it will avoid pricing discrimination.","""Prices could be dictated not by supply and demand, but by individual need."""
delta-air-assures-us-lawmakers-it-will-not-personalize-fares-using-ai-reuters,aviation,delta,"""Delta Air assures US lawmakers it will not personalize fares using AI""",Reuters,news article,https://www.reuters.com/business/delta-air-assures-us-lawmakers-it-will-not-personalize-fares-using-ai-2025-08-01/,2025-08-01,2026-05-06,"AI, personalized ticket prices, personal data, dynamic pricing, surveillance prices",company denial / public pressure,"Reuters reports Delta's response to senators: Delta says it has not used and will not use AI to set individualized prices based on personal data, while lawmakers continue asking what data is used in pricing.","""Our ticket pricing never takes into account personal data."""
delta-responds-to-misinformation-around-ai-pricing-delta-news-hub,aviation,delta,"""Delta responds to misinformation around AI pricing""",Delta News Hub,company statement,https://news.delta.com/delta-responds-misinformation-around-ai-pricing,2025-08-07,2026-05-05,"AI, dynamic pricing, individualized pricing, surveillance pricing, aggregated data, pricing recommendations",company denial / clarification,"Company-published version of Peter Carter's July 31 letter to Senators Gallego, Blumenthal, and Warner. Delta denies individualized pricing based on personal data and frames AI as a decision-support tool using aggregated data.","""There is no fare product Delta has ever used, is testing or plans to use that targets customers."""
deltas-dynamic-ai-pricing-plan-sounds-different-now-the-verge,aviation,delta,"""Delta's dynamic AI pricing plan sounds different now""",The Verge,news article,https://www.theverge.com/news/717867/delta-ai-dynamic-pricing-model,2025-08-01,2026-05-06,"dynamic AI pricing, AI-assisted dynamic pricing, personal data, aggregated data, pricing recommendation functionality",company clarification / framing shift,"The Verge contrasts Delta's earlier investor comments with its later lawmaker response, emphasizing that Delta now frames AI pricing as aggregated-data decision support rather than individual maximum willingness-to-pay pricing.","""Delta Air Lines is explaining more about its AI-assisted dynamic pricing model."""
gallego-response-letter-073125,aviation,delta,"""Delta response letter to Senators Gallego, Blumenthal, and Warner""",Delta Air Lines,company letter,https://www.gallego.senate.gov/wp-content/uploads/2025/08/Gallego-Response-Letter-07.31.25.pdf,2025-07-31,2026-05-06,"AI, dynamic pricing model, individualized pricing, surveillance pricing, aggregated data, personal data",company denial / clarification,"Delta's direct written response to senators. It denies using personal data for individualized ticket prices, describes AI as analyst support, says Fetcherr does not receive personal information, and frames pricing as market-based dynamic pricing.","""Our AI-powered pricing functionality is designed to enhance our existing fare pricing processes using aggregated data."""
gallego-statement-on-deltas-response-to-his-letter-on-ai-based-pricing,aviation,delta,"""Gallego Statement on Delta's Response to his Letter on AI-Based Pricing""",Senator Ruben Gallego,senate press release,https://www.gallego.senate.gov/news/press-releases/gallego-statement-on-deltas-response-to-his-letter-on-ai-based-pricing/,2025-08-01,2026-05-05,"AI-based pricing, individualized data, aggregated data, right offer",continued public pressure / inconsistency claim,"Senator Gallego responds to Delta's denial by arguing Delta's investor and public communications conflict. Useful for tracking how external pressure interprets Delta's shift in language.","""Delta is telling their investors one thing, and then turning around and telling the public another."""
