source_id,source_title,source_publisher,source_type,source_origin,url,publication_date,access_date,pricing_terms_used,information_tracked,summary,key_excerpts
comer-investigates-use-of-artificial-intelligence-to-set-prices-for-consumers-un,"""Comer Investigates Use of Artificial Intelligence to Set Prices for Consumers""",United States House Committee on Oversight and Government Reform,press release,third party,https://oversight.house.gov/release/comer-investigates-use-of-artificial-intelligence-to-set-prices-for-consumers/,2026-03-05,2026-05-11,"artificial intelligence, AI, surveillance pricing, personalized pricing, individualized price, algorithms, consumer data, demand fluctuations","""geolocation, demographics, browsing history, purchase history, device type, battery life, mouse clicks, emotional state, purchase intent, maximum willingness to pay""","House Oversight Chairman James Comer announced an investigation into AI-enabled surveillance pricing at Lyft and other companies. The release frames surveillance pricing as algorithms combined with harvested personal data to infer emotional state, purchase intent, and maximum willingness to pay, and says the committee requested documents from Lyft to understand its pricing practices. It distinguishes acceptable demand-based pricing tools from surveillance pricing systems coupled with highly personalized consumer data.","""Companies utilizing surveillance pricing deploy algorithms in conjunction with harvested personal data"" | ""Companies use consumer data in price surveilling to create digital profiles based on individualized data such as geolocation, demographics, browsing history, purchase history, device type, battery life, and mouse clicks"" | ""the rise of surveillance pricing algorithms coupled with highly personalized consumer data may create arbitrage opportunities"""
consumer-reports-applauds-the-house-committee-on-oversight-and-government-reform,"""Consumer Reports applauds the House Committee on Oversight and Government Reform for launching investigation into surveillance pricing""",Consumer Reports Advocacy,advocacy press release,third party,https://advocacy.consumerreports.org/press_release/consumer-reports-applauds-the-house-committee-on-oversight-and-government-reform-for-launching-investigation-into-surveillance-pricing/,2026-03-06,2026-05-11,"artificial intelligence, AI, personal data, surveillance pricing, AI-driven pricing experiments, algorithmic pricing, individualized prices","""personal data, maximum willingness to pay, shopping data""","Consumer Reports applauded the House Oversight investigation into surveillance pricing at Lyft and other companies. The release argues that companies may use AI and personal data to infer the most consumers are willing to pay, connects the committee inquiry to CR’s Instacart pricing investigation, and supports federal and state efforts to prevent companies from using personal data to set individualized prices.","""the use of artificial intelligence (AI) and personal data by companies to conduct surveillance pricing"" | ""companies are using AI and personal data to conduct surveillance pricing on unsuspecting consumers"" | ""prevent companies from using consumers’ personal data to set individualized prices"""
dynamic-pricing-to-sustain-marketplace-balance-by-davide-crapis-lyft-engineering,"""Dynamic Pricing to Sustain Marketplace Balance""",Lyft Engineering,company engineering blog post,company,https://eng.lyft.com/dynamic-pricing-to-sustain-marketplace-balance-1d23a8d1be90,2020-11-10,2026-05-11,"dynamic pricing, dynamic pricing algorithm, PrimeTime, price-response, conversion, machine learning, optimization, real-time","""rider demand, driver supply, available drivers, number of riders, location, time, ETA, historical data, conversion functions, market conditions, ridesharing network topology, distances, reachability""","Lyft Engineering explains PrimeTime, Lyft’s dynamic pricing algorithm, as a system for maintaining marketplace balance in real time when rider demand and driver supply fluctuate. The post describes iterations of the algorithm that use availability targets, price-response modeling, ETA targeting, online machine learning, and constrained optimization across networks of local markets. Lyft frames price increases as a way to suppress demand during undersupply and improve rider and driver service levels.","""Dynamic pricing is the main technology that allows us to maintain market balance in real-time"" | ""Our dynamic pricing algorithm is called PrimeTime (PT)"" | ""we should assume they have different responses to price changes depending on their time and place"" | ""leverages on-line machine learning techniques to update the relevant market parameters very frequently"""
leaving-money-on-the-dashboard-price-dispersion-and-search-frictions-on-uber-and,"""Leaving Money on the Dashboard: Price Dispersion and Search Frictions on Uber and Lyft""",National Bureau of Economic Research,working paper,third party,https://www.nber.org/papers/w34441,2025-11,2026-05-11,"price differences, price dispersion, search frictions, price compare, gross booking volume","""device-level data, identical trips, app-opening behavior""",The NBER working paper audits identical trips on Uber and Lyft and documents price dispersion across the two platforms. It finds that only 16.1 percent of consumers who open one app also open the other and estimates that comparison-shopping frictions increase platforms’ gross booking volume by more than $300 million annually in New York City alone. The source is useful for Lyft because it provides empirical evidence of price differences and low price-comparison behavior in the ride-hailing market.,"""We document price differences for identical trips on Uber and Lyft"" | ""device-level data show that only 16.1 percent of consumers opening one app also open the other"" | ""comparison shopping increase platforms’ gross booking volume by over $300 million annually in New York City alone"""
letter-to-lyft-3-5-2026,"""Letter to Lyft CEO David Risher on AI and surveillance pricing""",United States House Committee on Oversight and Government Reform,letter,third party,https://oversight.house.gov/wp-content/uploads/2026/03/Letter-to-Lyft_3.5.2026.pdf,2026-03-05,2026-05-11,"artificial intelligence, surveillance pricing, consumer data, individualized data, personalized pricing, revenue management algorithms, AI-based pricing technology, highly personalized consumer data","""geolocation, demographics, browsing history, purchase history, device type, battery life, mouse clicks, emotional state, purchase intent, maximum willingness to pay, data sources, third-party data sources""","The House Oversight Committee sent Lyft CEO David Risher a document request about AI, consumer data, and surveillance pricing. The letter alleges that a recent report indicated Lyft deploys AI-based pricing that prices identical products differently from one customer to another by an average of 13 percent and asks for documents on revenue management algorithms, data sources, third-party data organizations, and consumer-facing disclosures. It frames the concern as surveillance pricing that creates individualized prices in a black-box environment.","""A recent report indicates Lyft deploys AI-based pricing technology that prices identical products differently from one customer to the next by an average of 13 percent"" | ""personalized pricing is taking place or what information collected about them are driving prices"" | ""All documents and communications detailing how consumer data is utilized in conjunction with any deployed revenue management algorithms"""
lyft-surge-pricing-letter,"""Letter to Lyft CEO David Risher on surge pricing""","United States Senate Committee on Banking, Housing, and Urban Affairs",letter,third party,https://www.banking.senate.gov/imo/media/doc/lyft_surge_pricing_letter1.pdf,2024-07-03,2026-05-11,"dynamic pricing, surge pricing, algorithms, pricing algorithms, consumer data, willingness to pay, protected classes","""consumer demand, customer data, past purchasing behavior, browsing history, device, device battery level, previous willingness to pay surge prices, gender, age, disability status, race""","Senator Sherrod Brown wrote to Lyft CEO David Risher seeking transparency about Lyft’s dynamic or surge pricing. The letter says Lyft has long used dynamic pricing to set fares based on consumer demand and asks how Lyft sets and changes ride prices, what data it uses, whether purchase history, browsing history, device or battery level are used, and whether Lyft estimates each consumer’s highest willingness to pay. It also asks how Lyft prevents pricing algorithms from discriminating based on protected classes.","""Lyft was an early adopter of dynamic pricing and has long used this technique to set fares based on consumer demand"" | ""Please describe the data Lyft uses to determine prices"" | ""Does Lyft apply any strategies to determine the highest price any given consumer will pay?"" | ""What specific steps has Lyft taken to ensure that pricing algorithms do not discriminate"""
lyft-to-open-up-a-can-of-whoop-ass-on-surge-pricing-techcrunch,"""Lyft to ‘open up a can of whoop ass’ on surge pricing""",TechCrunch,news article,third party with company statement,https://techcrunch.com/2024/08/07/lyft-to-open-up-a-can-of-whoop-ass-on-surge-pricing/,2024-08-07,2026-05-11,"surge pricing, primetime, Price Lock, reliable pricing, dynamic pricing, demand, supply, conversion rates, gross bookings","""specific route, specific time, demand, supply, markets, conversion rates, gross bookings per ride""",TechCrunch reports on Lyft’s Price Lock pilot and CEO David Risher’s comments about reducing PrimeTime surge pricing. The article explains PrimeTime as Lyft’s term for dynamic price increases when demand is high or supply is low and quotes Risher saying Price Lock can reduce how often surge occurs while acknowledging that PrimeTime remains important for matching supply during demand spikes. A Lyft spokesperson also clarified that Price Lock is separate from Lyft Pink.,"""Price Lock that will let a rider purchase a monthly subscription that caps the price for a specific route at a specific time"" | ""Primetime is how Lyft refers to surge pricing"" | ""primetime won’t ever completely go away"" | ""it’s an important way to match supply when demand spikes quickly"""
pricing-at-lyft-by-yanqiao-wang-by-yanqiao-wang-lyft-engineering,"""Pricing at Lyft""",Lyft Engineering,company engineering blog post,company,https://eng.lyft.com/pricing-at-lyft-8a4022065f8b,2022-08-02,2026-05-11,"price optimization, algorithmic pricing, data-driven decisions, dynamic pricing, machine learning, reinforcement learning, real-time pricing, causal inference, personalized pricing","""location, origin and destination, estimated travel time and distance, timestamp, ride type, drivers signing on or off, riders checking the Lyft app, input signals, transaction ride data, market signals, session-level information, estimated tolls, venue fees, price quote ID""","Lyft Engineering describes the architecture of Lyft’s pricing system, including pricing orchestration, pricing operations, and algorithmic pricing. The post says Lyft aims for reliable, fair, and competitive prices, including that two riders should see the same price for the same ride intent unless there is a clear explanation such as Lyft Pink. It also describes real-time algorithmic pricing using causal inference, machine learning, operations research, dynamic pricing, reinforcement learning, transaction ride data, and market/business inputs.","""Algorithmic Pricing: a plug-in-play model library designed for consistent backtesting, experimentation, and productionization of automated data-driven decisions"" | ""any two riders see the same price for the same ride intent with a clear explanation otherwise"" | ""The structural pricing component... taking ride level characteristics (location: origin and destination, estimated travel time and distance, timestamp and ride type) as inputs"" | ""we process transaction ride data as raw data to update the pricing policies"""
ride-pricing-and-charges-lyft-help,"""Ride pricing and charges""",Lyft Help,help center page,company,https://help.lyft.com/hc/en-us/rider/articles/115012925707-I-was-charged-incorrectly,undated,2026-05-11,"upfront price, fare estimates, discounts, traffic, driver availability, demand, service fee, cancellation fee, no-show fee","""pickup location, drop-off location, route, ride type, ride time, traffic, driver availability, demand, route changes, destination changes, stops, trip duration, tips, tolls, local fees, payment method""","Lyft’s rider help page explains how ride prices and charges work. It says Lyft shows an upfront price based on ride type and time, traffic, and driver availability, and that final prices can change if the route, destination, timing, stops, or demand changes. The page also explains that Lyft fare estimates do not reflect discounts, traffic delays, or later trip changes, and that the upfront price includes fare, tolls, service fees, and third-party fees.","""Lyft shows an upfront price based on: Ride type and time; Traffic and driver availability"" | ""Higher demand during rush hours, events, or bad weather may increase prices"" | ""Based on your route, ride type, driver availability, and demand"" | ""Fare estimates don’t reflect any discounts, traffic delays, or factors like adding a stop or changing your destination"""
state-data-driven-pricing-bans-spark-industry-pushback,"""State Data-Driven Pricing Bans Spark Industry Pushback""",Bloomberg Law,news article,third party with company statement,https://news.bloomberglaw.com/privacy-and-data-security/state-data-driven-pricing-bans-spark-industry-pushback,2026-05,2026-05-11,"data-driven pricing, surveillance pricing, personalized pricing, highly personalized pricing, algorithmic price testing, individualized prices, dynamic pricing, personal data","""personal data, consumers’ personal information, sensitive personal data, rewards-program data""","Bloomberg Law reports on state bills targeting surveillance or data-driven pricing and federal interest in personalized pricing disclosures. The article notes that House Oversight sent letters to companies including Lyft and reports Lyft’s denial that it uses personalized data to set prices. Lyft Executive Vice President Sid Patil is quoted saying Lyft prices rides, not riders, and arguing that static pricing would cause service gaps that harm rural, low-income, and transportation-desert riders.","""Surveillance pricing, also known as data-driven pricing"" | ""Expedia and Lyft both denied using personalized data to set prices in emailed statements"" | ""Lyft prices rides, not riders"" | ""Static pricing would result in significant service gaps"""
