source_id,source_title,source_publisher,source_type,source_origin,url,publication_date,access_date,pricing_terms_used,information_tracked,summary,key_excerpts
brown-demands-transparency-from-uber-and-lyft-on-surge-pricing-united-states-com,"""Brown Demands Transparency from Uber and Lyft on Surge Pricing""","United States Senate Committee on Banking, Housing, and Urban Affairs",letter,third party with company statement,https://www.banking.senate.gov/newsroom/majority/brown-demands-transparency-from-uber-and-lyft-on-surge-pricing%26lt,2024-07-03,2026-05-11,"surge pricing, dynamic pricing, algorithmic pricing, pricing algorithms, consumer data, willingness to pay","""time and distance of route, traffic, rider-to-driver demand, private data, past purchasing behavior, browsing history, device, device battery level, previous willingness to pay surge prices""","Senator Sherrod Brown asked Uber and Lyft for transparency about surge pricing and algorithmic fare-setting. The letter argues that frequent opaque price changes may suppress comparison shopping and exploit consumers, quotes Uber website language about dynamic pricing inputs, and asks whether Uber uses purchase history, browsing history, device information, battery level, or prior willingness to pay.","""Using algorithms to set prices, including dynamic pricing, abuses consumer data and suppresses competition"" | ""Uber’s dynamic pricing algorithm ""adjusts rates based on a number of variables, such as time and distance of your route, traffic and the current rider-to-driver demand."""" | ""Please specifically describe where the customer data comes from – including whether an individual’s past purchasing behavior, browsing history, device, or device battery level is used to determine prices."""
comer-investigates-use-of-artificial-intelligence-to-set-prices-for-consumers-un,"""Comer Investigates Use of Artificial Intelligence to Set Prices for Consumers""",United States House Committee on Oversight and Government Reform,press release,third party,https://oversight.house.gov/release/comer-investigates-use-of-artificial-intelligence-to-set-prices-for-consumers/,2026-03-05,2026-05-10,"artificial intelligence, AI, surveillance pricing, personalized pricing, individualized price, algorithms, consumer data","""geolocation, demographics, browsing history, purchase history, device type, battery life, mouse clicks, emotional state, purchase intent, maximum willingness to pay""","House Oversight Chairman James Comer announced an investigation into AI-enabled surveillance pricing at Uber and other companies. The release frames the concern as algorithms paired with harvested personal data to infer willingness to pay and tailor individualized prices in opaque black-box environments, citing reports of Uber price differences for comparable rides.","""Companies utilizing surveillance pricing deploy algorithms in conjunction with ‘harvested’ personal data"" | ""Companies use consumer data in price surveilling to create digital profiles based on individualized data such as geolocation, demographics, browsing history, purchase history, device type, battery life, and mouse clicks"" | ""Uber deploys AI-based pricing technology that prices identical products differently from one customer to the next by an average of 11 percent."""
consumer-alert-details-uber-example-of-surveillance-pricing,"""Consumer Alert Details Uber Example of Surveillance Pricing""",Consumer Watchdog,watchdog alert,third party with company statement,https://consumerwatchdog.org/privacy/consumer-alert-details-uber-example-of-surveillance-pricing/,2025-12-10,2026-05-10,"surveillance pricing, personalized pricing, algorithm, personal data, fares","""geographic factors, demand, flight plans, battery level, financial information, personal data""","Consumer Watchdog describes a consumer-alert video alleging that two identical Uber trips produced different fares and questioning whether Uber is using surveillance pricing. It cites Uber’s reported denial that it considers anything beyond geographic factors and demand, then connects the allegation to New York’s algorithmic pricing disclosure law and California anti-surveillance-pricing legislation.","""Everything as far as I could tell—time, route, duration, type of ride, location—was the same. But the prices were different"" | ""Uber said it ‘did not consider anything beyond geographic factors and demand in setting prices.’"" | ""THIS PRICE WAS SET BY AN ALGORITHM USING YOUR PERSONAL DATA."""
how-ubers-dynamic-pricing-model-works,"""How Uber’s dynamic pricing model works""",Uber,company blog post,company,https://www.uber.com/ae/en/blog/uber-dynamic-pricing-model/,2018-10-29,2026-05-03,"dynamic pricing, dynamic pricing algorithm, surge charges, Uber price increase, higher Uber fares","""time and distance of route, traffic, current rider-to-driver demand""","Uber’s blog post explains its dynamic pricing model as a way to match fares to route time and distance, traffic, and rider-driver demand. Uber frames surge charges as temporary price increases during high demand that encourage more drivers to get on the road and says riders receive an app alert when rates change.","""Uber dynamic pricing model, which matches fares to a number of variables such as time and distance of your route, traffic and the current rider-to-driver demand"" | ""Sometimes, this means temporary surge charges during particularly busy periods."" | ""When we notify you of an Uber price increase, we notify drivers as well."""
leaving-money-on-the-dashboard-price-dispersion-and-search-frictions-on-uber-and,"""Leaving Money on the Dashboard: Price Dispersion and Search Frictions on Uber and Lyft""",National Bureau of Economic Research,working paper,third party,https://www.nber.org/papers/w34441,2025-11,2026-05-11,"price differences, price dispersion, search frictions, gross booking volume, price compare","""device-level data, identical trips, app-opening behavior""","The NBER working paper audits identical trips on Uber and Lyft and documents price dispersion across platforms. It finds that only a small share of consumers comparison-shop across both apps and estimates that search frictions increase platforms’ gross booking volume by over $300 million annually in New York City alone, while Uber API restrictions limit price-comparison services.","""We document price differences for identical trips on Uber and Lyft, based on an audit of the two platforms."" | ""device-level data show that only 16.1 percent of consumers opening one app also open the other"" | ""Uber’s API terms of use limit such services, reducing riders’ ability to price compare."""
not-even-nice-work-if-you-can-get-it-ubers-algorithmic-pay-and-pricing,"""Not Even Nice Work If You Can Get It; A Longitudinal Study of Uber’s Algorithmic Pay and Pricing""",arXiv / ACM FAccT 2025,academic paper,third party,https://arxiv.org/pdf/2506.15278,2025-06-18,2026-05-10,"algorithmic pay, algorithmic pricing, dynamic pricing, upfront fares, take rate, service fee, AI, algorithm audit","""1.5 million trips, 258 UK drivers, trip and delivery records, driver pay, customer fares, dispatch data, acceptance rates, utilization, DSAR data""","This academic audit analyzes 1.5 million Uber trips from 258 UK drivers before and after dynamic pricing. The authors find that pay decreased, Uber’s cut increased, job allocation and pay became less predictable, and inequality between drivers increased, while explaining how DSAR data can support algorithmic audits of platform work.","""Through longitudinal analysis of 1.5 million trips from 258 drivers in the UK, we find that after dynamic pricing, pay has decreased, Uber’s cut has increased, job allocation and pay is less predictable"" | ""Until the introduction of dynamic pricing, Uber had publicly adhered to a flat service fee"" | ""Uber’s median take rate per driver has increased from 25% to 29%, and on some trips the take rate is over 50%."""
second-study-finds-uber-used-opaque-algorithm-to-dramatically-boost-profits-uber,"""Second study finds Uber used opaque algorithm to dramatically boost profits""",The Guardian,news article,third party with company statement,https://www.theguardian.com/technology/2025/jun/25/second-study-finds-uber-used-opaque-algorithm-to-dramatically-boost-profits,2025-06-25,2026-05-10,"opaque algorithm, upfront pricing, dynamic pricing algorithms, personalised, pricing, pay, take rate","""driver and rider behavior, real-time supply and demand, pay, distance, expected duration, individual rider or driver personal characteristics""","The Guardian reports on a second study alleging that Uber’s opaque algorithm and upfront pricing increased profits by raising rider prices and lowering driver pay. The article includes Uber’s response that its pricing is transparent and fair, that dynamic pricing balances real-time supply and demand, and that upfront prices are not personalized based on individual personal characteristics.","""Second study finds Uber used opaque algorithm to dramatically boost profits"" | ""Uber’s pricing is designed to be transparent and fair for both riders and drivers."" | ""Upfront prices are not personalised – our pricing algorithms do not use information about an individual rider or driver’s personal characteristics."""
uber-doordash-start-disclosing-if-apps-use-customer-data-to-set-prices-business-,"""Uber, DoorDash Start Disclosing If Apps Use Customer Data to Set Prices""",Business Insider,news article,third party with company statement,https://www.businessinsider.com/uber-doordash-notify-if-apps-use-customer-data-set-prices-2025-11,2025-11-12,2026-05-11,"algorithms, algorithmic pricing, personal data, upfront pricing, disclosure, prices","""location, delivery address, past orders, favorite stores, personal data, past trips, users, individual rider or driver personal characteristics""",Business Insider reports that Uber and DoorDash began showing algorithmic-pricing disclosures after New York’s Algorithmic Pricing Disclosure Act took effect. The article says an Uber spokesperson confirmed the Uber Eats disclosure was added in response to the law and reports Uber’s statement that its algorithms do not use individual rider or driver personal characteristics to set prices.,"""This price was set by an algorithm using your personal data"" | ""A company spokesperson confirmed that Uber Eats added the disclosure in response to New York’s new law."" | ""Uber said in June that its algorithms ""do not use information about an individual rider or driver’s personal characteristics"" to set prices."""
uber-marketplace-pricing-uber,"""Uber Marketplace Pricing""",Uber,company statement,company,https://www.uber.com/us/en/marketplace/pricing/,2026,2026-05-11,"upfront price, upfront fares, surge pricing, route-based pricing, service fee, rider price, driver fare, promotions","""estimated length and duration, traffic, stops, destination updates, route changes, tolls, wait time, rider demand, route, time of day""","Uber’s marketplace pricing page describes how rider prices and driver fares are determined and emphasizes that rider payment is distinct from driver earnings. Uber says upfront prices are based on estimated trip length and duration with real-world factors like traffic, lists components such as surge pricing and route-based adjustments, and notes that it may test functionality and pricing in ways not described on the page.","""Upfront rider prices are based on the estimated length and duration of the trip."" | ""The service fee is the fee drivers pay Uber, and it varies from trip to trip."" | ""As we work to improve the marketplace, we may test functionality and pricing in ways not described on this page."""
uber-privacy-notice-drivers-and-delivery-people,"""Uber Privacy Notice: Drivers and Delivery People""",Uber,privacy policy,company,https://www.uber.com/global/en/privacy-notice-drivers-delivery-people/,2026-03-26,2026-05-11,"pricing, automated processes, algorithms, machine learning models, upfront fare, surge pricing, promotions, service fees","""location data, trip/delivery information, earnings, acceptance rates, cancellation rates, date and time, distance traveled, requested pickup and dropoff addresses, usage data, device data, data from marketing partners and service providers, historical data, current driving conditions, similar destinations, demand, tolls, surge pricing, promotions""","Uber’s driver and delivery privacy notice describes the personal and non-personal data it collects and how automated processes support matching, pricing, safety, and fraud detection. In the pricing section, Uber says algorithms determine driver pay and that upfront fares can be calculated using current driving conditions, similar destinations, demand, toll reimbursements, surge pricing, and promotions, with service fees subtracted.","""Uber uses automated processes to enable certain parts of our services, including functions essential to our business such as matching, pricing, safety, and fraud detection and prevention."" | ""When you provide transportation or a delivery, Uber uses algorithms to determine the amount you’re paid."" | ""such fares are calculated based on factors including the current driving conditions, similar destinations, demand for rides at that time, surcharges and reimbursement for tolls, surge pricing and promotions."""
