source_id,source_type,\bsurveillance\b,\bdynamic(?:ally)?\b,\balgorithm(?:ic|ically)?s?\b,\b(?:AI|artificial intelligence|machine learning)\b,\bpersonali[sz](?:e|es|ed|ing|ation)?\b,\bindividuali[sz](?:e|es|ed|ing|ation)?\b,\bcustomi[sz](?:e|es|ed|ing|ation)?\b,\btarget(?:s|ed|ing)?\b,\bdiscriminat(?:e|es|ed|ing|ion|ory)?\b,\bdifferentiat(?:e|es|ed|ing|ion)?\b,\bdemand\b,\bsurge\b,\breal[-\s]?time\b,\bcontinuous(?:ly)?\b,\bdata[-\s]?driven\b,\bprice optimi[sz](?:e|es|ed|ing|ation)?\b,\bpredatory\b,\bgoug(?:e|es|ed|ing)\b
2025-07-28-video-blumenthal-colleagues-demand-answers-from-delta,third party with company statement,3,0,4,16,0,6,10,0,2,0,5,0,0,0,0,0,0,0
a-review-of-ancillary-services-in-the-airline-industry,third party,0,22,5,3,13,1,0,3,2,1,4,1,2,1,1,0,0,0
corrected-transcript-delta-air-lines-inc-dal-us-investor-day-20-november-2024-8-,company,0,3,0,17,3,0,1,9,0,13,18,0,5,5,0,0,0,0
corrected-transcript-delta-air-lines-inc-dal-us-q2-2025-earnings-call,company,0,2,0,2,0,0,0,6,0,3,22,0,0,0,0,0,0,0
delta-ai-letter,third party with company statement,5,2,3,25,0,6,10,0,3,0,2,0,0,0,0,0,0,0
delta-air-assures-us-lawmakers-it-will-not-personalize-fares-using-ai-reuters,third party with company statement,1,1,0,22,4,2,1,3,0,0,1,0,1,0,0,0,0,0
delta-responds-to-misinformation-around-ai-pricing-delta-news-hub,company,1,3,0,22,0,3,0,2,1,0,2,0,0,2,0,0,1,0
deltas-dynamic-ai-pricing-plan-sounds-different-now-the-verge,third party with company statement,0,4,0,32,1,1,0,1,1,0,0,0,1,0,0,0,1,1
gallego-response-letter-073125,company,1,1,0,16,0,3,0,2,1,0,2,0,0,2,0,0,1,0
gallego-statement-on-deltas-response-to-his-letter-on-ai-based-pricing,third party with company statement,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
how-delta-airlines-and-other-companies-use-dynamic-pricing-to-determine-how-much,third party with company statement,4,2,17,8,1,0,1,1,1,0,2,0,0,0,0,0,0,0
news-congressman-greg-casar-introduces-new-stop-ai-price-gouging-and-wage-fixing,third party,5,0,2,8,2,0,0,1,0,0,0,0,0,0,0,0,0,5
privacy-and-security-delta-air-lines,company,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
pymnts-delta-air-lines-tests-ai-powered-personalized-pricing,third party with company statement,5,4,4,16,11,1,1,8,1,0,2,0,2,0,0,0,2,2
ruben-gallego-on-x-deltas-ceo-just-got-caught-bragging-about-using-ai-to-find-yo,third party,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
senators-demand-answers-as-delta-plans-to-price-more-tickets-based-on-what-ai-th,third party with company statement,2,4,2,13,0,4,2,1,1,0,2,0,1,0,0,0,0,0
tech-brief-airplane-response-institute-for-technology-law-policy-georgetown-law,third party with company statement,2,2,3,22,4,10,4,1,0,0,0,0,3,0,1,1,0,0
us-house-lawmakers-probe-delta-air-lines-on-use-of-ai-in-ticket-pricing-reuters,third party with company statement,1,1,0,16,0,2,1,1,1,0,2,0,1,0,0,0,0,0
