source_id,\bsurveillance\b,\bdynamic(?:ally)?\b,\balgorithm(?:ic|ically)?s?\b,\b(?:AI|artificial intelligence|machine learning)\b,\bpersonali[sz](?:e|es|ed|ing|ation)?\b,\bindividuali[sz](?:e|es|ed|ing|ation)?\b,\bcustomi[sz](?:e|es|ed|ing|ation)?\b,\btarget(?:s|ed|ing)?\b,\bdiscriminat(?:e|es|ed|ing|ion|ory)?\b,\bdifferentiat(?:e|es|ed|ing|ion)?\b,\bdemand\b,\bsurge\b,\breal[-\s]?time\b,\bcontinuous(?:ly)?\b,\bdata[-\s]?driven\b,\bprice optimi[sz](?:e|es|ed|ing|ation)?\b,\bpredatory\b,\bgoug(?:e|es|ed|ing)\b
2025-07-28-video-blumenthal-colleagues-demand-answers-from-delta,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
delta-ai-letter,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
delta-air-assures-us-lawmakers-it-will-not-personalize-fares-using-ai-reuters,0,1,0,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0
deltas-dynamic-ai-pricing-plan-sounds-different-now-the-verge,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0
gallego-statement-on-deltas-response-to-his-letter-on-ai-based-pricing,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
how-delta-airlines-and-other-companies-use-dynamic-pricing-to-determine-how-much,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
pymnts-delta-air-lines-tests-ai-powered-personalized-pricing,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
senators-demand-answers-as-delta-plans-to-price-more-tickets-based-on-what-ai-th,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
tech-brief-airplane-response-institute-for-technology-law-policy-georgetown-law,0,0,1,3,1,3,0,1,0,0,0,0,1,0,0,0,0,0
us-house-lawmakers-probe-delta-air-lines-on-use-of-ai-in-ticket-pricing-reuters,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
